internal_id,Award ID,Recipient Name,Start Date,End Date,Award Amount,action_date,generated_internal_id
311988430,SAQMMA08F7196,"KNOLL, INC.",2008-09-29,2008-09-29,253650.89,,CONT_AWD_SAQMMA08F7196_1900_GS28F8029H_4730
308566881,INR17PD01012,"JOHN DEERE SHARED SERVICES, LLC",2017-09-20,2018-01-30,253435.89,,CONT_AWD_INR17PD01012_1425_GS30F0013U_4730
350297132,W917PM04P0011,MISCELLANEOUS FOREIGN AWARDEES,2004-08-15,2005-06-12,252847.5,,CONT_AWD_W917PM04P0011_9700_-NONE-_-NONE-
309747962,N0016414F0102,"NV5 GEOSPATIAL SOLUTIONS, INC.",2014-05-22,2014-06-02,252535.98,,CONT_AWD_N0016414F0102_9700_GS35F0265T_4730
291523951,75F40123F19013,"DCT, INCORPORATED",2023-01-17,2024-01-17,252367.25,,CONT_AWD_75F40123F19013_7524_75F40121D00024_7524
310517654,N4008024F4760,"CHENEGA ARCHITECTURE AND DESIGN SOLUTIONS, LLC",2024-09-03,2025-09-02,252060.0,,CONT_AWD_N4008024F4760_9700_N4008024D0005_9700
272613598,0005,MISCELLANEOUS FOREIGN AWARDEES,2007-12-03,2007-12-03,251992.0,,CONT_AWD_0005_9700_W91GY008A0008_9700
279997183,36C24123F0159,UNITED PARCEL SERVICE CO.,2023-04-01,2024-03-31,251913.46,,CONT_AWD_36C24123F0159_3600_HTC71123DC025_9700
280216069,36C25024K0188,"THE COBBLER'S BENCH OF FRANKENMUTH, LLC",2023-09-22,2024-09-21,251616.07,,CONT_AWD_36C25024K0188_3600_36C25020A0089_3600
307685310,HSCG8714JPJT724,"ANC NORTHERN JV, LLC",2014-06-24,2014-11-21,250775.0,,CONT_AWD_HSCG8714JPJT724_7008_HSCG8710DPJT035_7008
273264630,0019,VESA HEALTH & TECHNOLOGY INC,2016-08-23,2019-08-22,250636.32,,CONT_AWD_0019_9700_N6264515D5013_9700
347776070,VA24515F0705,"UNITED PARCEL SERVICE, INC.",2015-10-01,2016-09-30,250000.0,,CONT_AWD_VA24515F0705_3600_GS23F0282L_4730
292075786,9001,"QUADIENT, INC.",2015-12-22,2016-09-30,250000.0,,CONT_AWD_9001_6901_DTOS5916A00003_6901
276967738,1051,HDI LANDING GEAR USA INC,2017-09-26,2020-01-06,250000.0,,CONT_AWD_1051_9700_SPRPA114D004U_9700
272334848,0003,"L3 TECHNOLOGIES, INC.",2011-06-22,2012-02-11,250000.0,,CONT_AWD_0003_9700_N0016410DJN69_9700
291179314,70B03C22F00000064,"ROCKWELL AMERICAN SERVICES, LTD.",2021-12-14,2022-01-01,249999.15,,CONT_AWD_70B03C22F00000064_7014_70B03C20A00000022_7014
309791099,N0016811F5818,"EC AMERICA, INC",2011-08-17,2011-08-22,249963.33,,CONT_AWD_N0016811F5818_9700_GS35F0511T_4730
349848463,W912EE22F0054,TETRA TECH-STANLEY JV,2022-05-31,2023-10-28,249733.77,,CONT_AWD_W912EE22F0054_9700_W912P920D0009_9700
291575436,75N90021P00067,OLYMPUS AMERICA INC,2020-11-19,2023-11-29,249669.81,,CONT_AWD_75N90021P00067_7529_-NONE-_-NONE-
291297763,70Z03824FB0000025,SAINT-GOBAIN SULLY,2024-09-10,2024-12-16,249560.0,,CONT_AWD_70Z03824FB0000025_7008_70Z03824DB0000003_7008
310022712,N0018919FZA02,"TIGUA TECHNOLOGY SERVICES, INC.",2019-09-24,2020-09-29,249499.96,,CONT_AWD_N0018919FZA02_9700_N0018918DZ037_9700
311869642,RRB11D0941,"SENTINEL TECHNOLOGIES, INC.",2011-09-30,2011-12-31,249301.0,,CONT_AWD_RRB11D0941_6000_GS35F0379U_4730
277766122,140F0118F0372,"MCMILLEN, INC.",2018-08-14,2019-09-30,249257.0,,CONT_AWD_140F0118F0372_1448_INF14PC00039_1448
341231938,SPE8EL23F17G0,"ATLANTIC DIVING SUPPLY, INC.",2023-07-13,2024-04-23,248874.56,,CONT_AWD_SPE8EL23F17G0_9700_SPE8EJ21D0020_9700
343801880,U1DH,"ATLANTIC DIVING SUPPLY, INC.",2011-02-07,2011-03-21,248530.0,,CONT_AWD_U1DH_9700_SPM8EJ09D0028_9700
312923439,SP470222P0021,"JOHN CECIL CONSTRUCTION, LLC",2022-08-16,2023-12-31,247821.0,,CONT_AWD_SP470222P0021_9700_-NONE-_-NONE-
273131941,0015,ORBITAL SCIENCES LLC,2007-06-06,2008-01-18,247690.47,,CONT_AWD_0015_9700_F0470103D0202_9700
309509492,N0002419F8483,THE PENNSYLVANIA STATE UNIVERSITY,2019-09-04,2020-09-03,247619.63,,CONT_AWD_N0002419F8483_9700_N0002418D6401_9700
299880085,GS11B0184909212,"NORTHWESTERN MUTUAL LIFE INSURANCE COMPANY, THE",2009-07-01,2009-09-30,247463.08,,CONT_AWD_GS11B0184909212_4740_GS11B01849_4740
292674444,AG3J15D150136,JTM PROVISIONS CO INC,2015-04-21,2015-06-30,247174.2,,CONT_AWD_AG3J15D150136_12K2_-NONE-_-NONE-
308018831,IND05044C07014,"TRACE3 GOVERNMENT, LLC",2007-06-28,2009-09-21,247099.03,,CONT_AWD_IND05044C07014_1406_INDNBCA05044_1406
291812146,80KSC019F0092,"JOHNSON, LEVINSON, RAGAN, DAVILA, INC.",2019-04-09,2020-02-28,247058.0,,CONT_AWD_80KSC019F0092_8000_NNK16CA04B_8000
307892981,HTC71109P0496,"DELTA AIR LINES, INC.",2009-03-11,2009-04-01,247054.0,,CONT_AWD_HTC71109P0496_9700_-NONE-_-NONE-
312035707,SAQMMA14F2729,MICROSOFT CORPORATION,2014-08-14,2015-08-13,246600.0,,CONT_AWD_SAQMMA14F2729_1900_SAQMMA12D0191_1900
350634857,X019,"IRON BOW TECHNOLOGIES, LLC",2016-09-22,2016-10-16,246424.14,,CONT_AWD_X019_9700_FA873213D0017_9700
272126899,0001,MEBS GLOBAL REACH LC,2011-04-01,2012-03-31,246240.0,,CONT_AWD_0001_9700_W52P1J11D0017_9700
277846524,140P4521F0046,FIBER BUSINESS SOLUTIONS GROUP INC,2021-09-15,2021-12-31,245675.0,,CONT_AWD_140P4521F0046_1443_140P4520D0004_1443
348158352,VA25714J0125,BRACCO DIAGNOSTICS INC.,2013-10-01,2020-04-02,245493.13,,CONT_AWD_VA25714J0125_3600_V797P2222D_3600
350199787,W912PL20F0049,CREATIVE BUILDS CORPORATION,2020-07-13,2020-11-20,245487.89,,CONT_AWD_W912PL20F0049_9700_W912PL20D0025_9700
273541156,0029,RIBBON COMMUNICATIONS FEDERAL INC.,2009-08-24,2010-02-17,244937.56,,CONT_AWD_0029_9700_HC102809A2005_9700
309889371,N0017820FA692,ESPY LLC,2020-06-12,2020-12-30,244916.67,,CONT_AWD_N0017820FA692_9700_N0017819A0001_9700
333202146,SPE4A625PW028,"JAMAICA BEARINGS CO., INC.",2025-06-17,2025-11-04,244854.18,,CONT_AWD_SPE4A625PW028_9700_-NONE-_-NONE-
272159105,0001,NORTHROP GRUMMAN INFORMATION TECHNOLOGY INC,2005-12-13,2006-04-30,244173.25,,CONT_AWD_0001_9700_W912PB06D0001_9700
291504514,75D30120P09455,"HIGH VALLEY DESIGN, INC.",2020-08-27,2025-04-22,244000.0,,CONT_AWD_75D30120P09455_7523_-NONE-_-NONE-
340632716,SPE8E422V0030,HURLEN CORPORATION,2021-10-06,2022-02-03,243736.92,,CONT_AWD_SPE8E422V0030_9700_-NONE-_-NONE-
292825231,AG6395D120492,THERMO ELECTRON NORTH AMERICA LLC,2012-09-04,2012-12-31,243735.0,,CONT_AWD_AG6395D120492_12K3_GS24F0026L_4730
310977817,N6600122P6391,MODTECH SOLUTIONS LLC,2022-08-15,2023-03-15,242928.65,,CONT_AWD_N6600122P6391_9700_-NONE-_-NONE-
352758221,N4008525P0037,"ATLANTIC LIFT SYSTEMS, INC.",2025-06-26,2025-08-19,242800.0,,CONT_AWD_N4008525P0037_9700_-NONE-_-NONE-
348362993,VA262MEDICALPLACEINCOCTDECFY13EXPRESS,MEDICAL PLACE INC,2012-12-12,2012-12-12,242286.8,,CONT_AWD_VA262MEDICALPLACEINCOCTDECFY13EXPRESS_3600_-NONE-_-NONE-
337448543,SPE7L320P3986,"RONAL INDUSTRIES, INC.",2020-04-01,2020-12-28,242233.0,,CONT_AWD_SPE7L320P3986_9700_-NONE-_-NONE-
295423584,DC06,RTI LABORATORIES INC,2015-03-17,2015-04-30,242100.18,,CONT_AWD_DC06_9700_W912P412D0002_9700
276769111,0979,ANCHOR CONSTRUCTION CORP,2009-09-30,2009-12-29,241984.21,,CONT_AWD_0979_9700_N4008006D0007_9700
349990813,W912K619P5010,TERRA FIRMA SOLUTIONS INCORPORATED,2019-09-04,2021-09-16,241800.93,,CONT_AWD_W912K619P5010_9700_-NONE-_-NONE-
348803887,VC23,MCKESSON CORPORATION,2009-02-19,2009-02-19,241667.0,,CONT_AWD_VC23_9700_SPM20003D1666_9700
349370113,W911S711P0316,B & H INTERNATIONAL,2011-09-20,2011-10-20,241249.0,,CONT_AWD_W911S711P0316_9700_-NONE-_-NONE-
322090927,SPE2DX20FC779,AMERISOURCEBERGEN DRUG CORP,2020-09-24,2020-10-16,241029.3,,CONT_AWD_SPE2DX20FC779_9700_SPE2DX15D5017_9700
323754394,SPE30019F1BFV,ANHAM FZCO,2018-11-26,2019-02-24,240900.0,,CONT_AWD_SPE30019F1BFV_9700_SPM30012D3580_9700
281239525,47QMCA23F0B6S,"MODEL 1 COMMERCIAL VEHICLES, INC.",2023-04-19,2024-04-12,240497.0,,CONT_AWD_47QMCA23F0B6S_4732_47QMCA21D0004_4732
278099367,15B31518FTB220017,SEVEN CORNERS INC,2018-05-01,2018-12-31,240202.08,,CONT_AWD_15B31518FTB220017_1540_DJBP031500000010_1540
349821311,W912DS25FA015,"MCKIM & CREED, INC.",2025-04-04,2025-08-04,240000.0,,CONT_AWD_W912DS25FA015_9700_W912DS20D0003_9700
311100068,N6833523C0097,CANDENT TECHNOLOGIES INCORPORATED,2022-11-07,2024-03-04,239655.0,,CONT_AWD_N6833523C0097_9700_-NONE-_-NONE-
343141251,SPMYM220P2176,SCS INTEGRATED SUPPORT SOLUTIONS LLC,2020-06-25,2020-08-24,239237.72,,CONT_AWD_SPMYM220P2176_9700_-NONE-_-NONE-
334008686,SPE4AX23F2132,CFM INTERNATIONAL INC,2023-02-06,2023-03-20,238465.0,,CONT_AWD_SPE4AX23F2132_9700_SPE4AX17D9403_9700
350537351,W91YTZ25FA065,LABORATORY CORPORATION OF AMERICA,2025-04-01,2026-03-31,238363.08,,CONT_AWD_W91YTZ25FA065_9700_W81K0421D0001_9700
349141222,W81XWH06P1223,HYLAND LLC,2006-09-29,2011-09-28,237311.0,,CONT_AWD_W81XWH06P1223_9700_-NONE-_-NONE-
279970615,36C10B24F0367,GREENBRIER GOVERNMENT SOLUTIONS INC,2024-09-13,2026-09-12,237061.92,,CONT_AWD_36C10B24F0367_3600_NNG15SD49B_8000
291471849,74F4,"ASRC FEDERAL FACILITIES LOGISTICS, LLC",2015-12-30,2016-01-06,236335.45,,CONT_AWD_74F4_9700_SPE7L114D0005_9700
350299686,W919QA12C0065,MISCELLANEOUS FOREIGN AWARDEES,2012-09-12,2013-05-31,236289.99,,CONT_AWD_W919QA12C0065_9700_-NONE-_-NONE-
276356637,0696,ZOLL MEDICAL CORPORATION,2014-08-18,2014-08-21,236127.4,,CONT_AWD_0696_9700_SPM2D113D8220_9700
343715404,TOS06061,FIRST COMMUNICATIONS,2006-09-07,2012-07-24,235625.83,,CONT_AWD_TOS06061_2001_-NONE-_-NONE-
309663338,N0010420PDD60,"MANAGEMENT SERVICES GROUP, INC.",2020-09-10,2021-07-06,235410.0,,CONT_AWD_N0010420PDD60_9700_-NONE-_-NONE-
348782125,VA797A17J0709,PHILIPS NORTH AMERICA LLC,2017-11-14,2018-01-26,235107.0,,CONT_AWD_VA797A17J0709_3600_VA797H17D0022_3600
