start_date,end_date,recipient_name,amount
2013-09-30,2018-10-31,CNF TECHNOLOGIES CORPORATION,3754078.08
2023-09-12,2025-08-15,YORK-BRAWLEY II JV LLC,3747898.0
2024-10-04,2024-10-27,"SK ENERGY CO., LTD.",3740184.94
2014-11-01,2020-04-30,"LAULIMA GOVERNMENT SOLUTIONS, LLC",3702321.57
2020-04-30,2025-01-31,"ASRC FEDERAL PROFESSIONAL SERVICES, LLC",3674224.62
2007-12-12,2008-09-30,FEDERAL EXPRESS CORPORATION,3668000.0
2007-02-01,2008-07-31,"BEARINGPOINT, INC.",3623492.7
2013-06-18,2013-06-18,"IRON BOW TECHNOLOGIES, LLC",3617089.0
2021-03-25,2023-07-21,"CONTRACT AND PURCHASING SOLUTIONS, INC.",3614965.7
2019-04-29,2021-10-13,BURLINGTON ENGINEERING CORPORATION,3583411.25
2011-10-01,2017-03-31,HUGHES GROUP LLC,3560968.41
2011-09-09,2011-10-11,ENERSYS ENERGY PRODUCTS INC.,3540000.0
2014-09-22,2017-09-21,DEXIS INTERACTIVE LLC,3504431.1
2014-09-30,2019-09-29,BEST PRACTICE PROFESSIONALS LLC,3498120.0
2009-04-01,2010-05-14,"IEM INTERNATIONAL, INC.",3487741.44
2008-09-30,2010-09-01,WHITE HAWK TODD A JOINT VENTURE,3474222.0
2025-02-28,2025-02-28,MISCELLANEOUS FOREIGN AWARDEES,3473424.62
2021-03-01,2025-02-28,GABRIEL ENTERPRISES CONSULTING GROUP LLC,3467153.96
2025-05-20,2026-07-31,"L3HARRIS GLOBAL COMMUNICATIONS, INC.",3458814.9
2018-12-10,2023-02-28,FOUR LLC,3451758.76
2022-06-30,2022-06-30,SUSTAINABLE SYSTEM SOLUTIONS LLC,3449704.99
2015-05-29,2019-07-31,"VEDC, INC.",3443011.38
2018-08-30,2018-09-24,TESORO REFINING & MARKETING COMPANY LLC,3433442.88
2011-07-11,2011-11-30,"KNOLL, INC.",3433202.95
2009-10-05,2012-06-01,"E3 ENTERPRISES GROUP, LLC",3337404.83
2019-09-30,2025-03-29,"GOVERNMENT RETIREMENT & BENEFITS, INC.",3294687.0
2018-03-02,2019-05-21,NIPPO CORPORATION,3287735.43
2016-09-01,2020-01-31,DISCIPLINE CONSULTING GROUP LLC,3286620.47
2017-06-01,2018-05-31,CSRA LLC,3282909.44
2020-05-20,2022-03-20,"AMENTUM TECHNOLOGY, INC.",3269197.19
2021-04-30,2022-12-31,"HAYNES, INC.",3251881.45
2022-11-02,2023-11-01,TK ELEVATOR CORPORATION,3242280.85
2015-07-22,2015-08-01,EQUILON ENTERPRISES LLC,3234126.0
2014-06-26,2015-12-30,"YOUTHBUILD GLOBAL, INC.",3213957.61
2009-04-08,2009-07-06,AMERIQUAL GROUP LLC,3207537.0
2013-03-03,2014-09-03,AQ GLOBAL FOR GENERAL TRADING & CONTRACTING CO. W.L.L.,3205935.55
2010-09-20,2015-02-26,TREX ENTERPRISES CORPORATION,3202216.0
2014-07-31,2015-05-31,ABC TEAM-SPIELPLATZGERATE GESELLSCHAFT MIT BESCHRANKTER HAFTUNG,3196812.32
2005-09-01,2009-09-30,"PHELPS & PHELPS CONSULTING, LLC",3191265.0
2011-08-02,2011-10-09,KREMERS URBAN PHARMACEUTICALS INC.,3184722.38
2023-07-21,2025-12-26,"THUNDERCAT TECHNOLOGY, LLC",3160426.27
2019-06-26,2020-06-26,BENNETT AEROSPACE INC,3126891.87
2021-07-22,2026-07-22,TECHLAW CONSULTANTS INC,3124072.0
2008-12-05,2009-12-31,"MAIN BUILDING MAINTENANCE, INC.",3118036.38
2022-09-26,2025-12-31,OSHKOSH DEFENSE LLC,3104512.74
2025-05-07,2026-01-26,BURLINGTON INDUSTRIES LLC,3092000.0
2020-05-01,2021-04-30,SOHUM SYSTEMS LLC,3048313.16
2009-12-16,2010-12-16,"GENERAL DYNAMICS MISSION SYSTEMS, INC.",3045056.49
2025-04-01,2026-03-31,CARAHSOFT TECHNOLOGY CORP,3043331.05
2009-09-03,2010-09-30,FEDERAL EXPRESS CORPORATION,3032937.12
2016-03-21,2016-06-30,"HHI SERVICES, INC.",3028575.42
2013-02-19,2015-07-31,"M. C. DEAN, INC.",2997840.98
